author_name,family_name,genus_name,species,concat_species,ecocode_definition,ecocode,ecocode_abbreviation,ecocode_system,koch_type,taxon
(Abeille de Perr.),SALPINGIDAE,Sphaeriestes,reyi,Sphaeriestes reyi,Wood and trees,Wood and trees,BEco04,Bugs,,Sphaeriestes|reyi|(Abeille de Perr.)
(Abeille de Perr.),SALPINGIDAE,Sphaeriestes,reyi,Sphaeriestes reyi,under bark,corticolous,Ecoco,KochGroup,Ecology,Sphaeriestes|reyi|(Abeille de Perr.)
(Abeille de Perr.),SALPINGIDAE,Sphaeriestes,reyi,Sphaeriestes reyi,eats insects,entomophagous,FNoEn,KochGroup,Food nourishment,Sphaeriestes|reyi|(Abeille de Perr.)
(Abeille de Perr.),SALPINGIDAE,Sphaeriestes,reyi,Sphaeriestes reyi,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Sphaeriestes|reyi|(Abeille de Perr.)
(Abeille de Perr.),SALPINGIDAE,Sphaeriestes,reyi,Sphaeriestes reyi,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Sphaeriestes|reyi|(Abeille de Perr.)
(Abeille de Perr.),SALPINGIDAE,Sphaeriestes,reyi,Sphaeriestes reyi,in wood debris,xylodetriticolous,Ecoxy,KochGroup,Ecology,Sphaeriestes|reyi|(Abeille de Perr.)
Abeille de Perr.,CISIDAE,Orthocis,coluber,Orthocis coluber,Wood and trees,Wood and trees,BEco04,Bugs,,Orthocis|coluber|Abeille de Perr.
Abeille de Perr.,CISIDAE,Ropalodontus,baudueri,Ropalodontus baudueri,Wood and trees,Wood and trees,BEco04,Bugs,,Ropalodontus|baudueri|Abeille de Perr.
Abeille de Perr.,CISIDAE,Ropalodontus,baudueri,Ropalodontus baudueri,on fungi,mycetophagous,FNoMy,KochGroup,Food nourishment,Ropalodontus|baudueri|Abeille de Perr.
Abeille de Perr.,CISIDAE,Ropalodontus,baudueri,Ropalodontus baudueri,in fungi,mycetophilous,HTymy,KochGroup,Habitat type,Ropalodontus|baudueri|Abeille de Perr.
Abeille de Perr.,CISIDAE,Ropalodontus,baudueri,Ropalodontus baudueri,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Ropalodontus|baudueri|Abeille de Perr.
Abeille de Perr.,CISIDAE,Ropalodontus,baudueri,Ropalodontus baudueri,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Ropalodontus|baudueri|Abeille de Perr.
Abeille de Perr.,MALACHIIDAE,Malachius,vulneratus,Malachius vulneratus,Halotolerant (all salts),Halotolerant,BEco13,Bugs,Habitat type,Malachius|vulneratus|Abeille de Perr.
Abeille de Perr.,MALACHIIDAE,Malachius,vulneratus,Malachius vulneratus,on flowers,floricolous,Ecofl,KochGroup,Ecology,Malachius|vulneratus|Abeille de Perr.
Abeille de Perr.,MALACHIIDAE,Malachius,vulneratus,Malachius vulneratus,tolerant of saline habitats,halotolerant,HTyht,KochGroup,Habitat type,Malachius|vulneratus|Abeille de Perr.
Abeille de Perr.,MALACHIIDAE,Malachius,vulneratus,Malachius vulneratus,feeds on pollen,pollenophagous,FNoPn,KochGroup,Food nourishment,Malachius|vulneratus|Abeille de Perr.
Abeille de Perr.,MALACHIIDAE,Malachius,vulneratus,Malachius vulneratus,on river banks,ripicolous,Ecori,KochGroup,Ecology,Malachius|vulneratus|Abeille de Perr.
Abeille de Perr.,MALACHIIDAE,Malachius,vulneratus,Malachius vulneratus,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Malachius|vulneratus|Abeille de Perr.
(Ahr.),CARABIDAE,Dyschirius,angustatus,Dyschirius angustatus,Halotolerant (all salts),Halotolerant,BEco13,Bugs,Habitat type,Dyschirius|angustatus|(Ahr.)
(Ahr.),CARABIDAE,Dyschirius,angustatus,Dyschirius angustatus,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Dyschirius|angustatus|(Ahr.)
(Ahr.),CARABIDAE,Dyschirius,angustatus,Dyschirius angustatus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Dyschirius|angustatus|(Ahr.)
(Ahr.),CARABIDAE,Dyschirius,angustatus,Dyschirius angustatus,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Dyschirius|angustatus|(Ahr.)
(Ahr.),CARABIDAE,Dyschirius,angustatus,Dyschirius angustatus,,terricolous or subterranean,Ecote,KochGroup,,Dyschirius|angustatus|(Ahr.)
(Ahr.),CRYPTOPHAGIDAE,Telmatophilus,sparganii,Telmatophilus sparganii,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Telmatophilus|sparganii|(Ahr.)
(Ahr.),CRYPTOPHAGIDAE,Telmatophilus,sparganii,Telmatophilus sparganii,on river banks,ripicolous,Ecori,KochGroup,Ecology,Telmatophilus|sparganii|(Ahr.)
(Ahr.),CRYPTOPHAGIDAE,Telmatophilus,sparganii,Telmatophilus sparganii,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Telmatophilus|sparganii|(Ahr.)
(Ahr.),DYTISCIDAE,Coelambus,parallelogrammus,Coelambus parallelogrammus,Aquatics,Aquatics,BEco01,Bugs,,Coelambus|parallelogrammus|(Ahr.)
(Ahr.),DYTISCIDAE,Coelambus,parallelogrammus,Coelambus parallelogrammus,Standing water (ponds) indicators,Indicators: Standing water,BEco01a,Bugs,,Coelambus|parallelogrammus|(Ahr.)
(Ahr.),DYTISCIDAE,Coelambus,parallelogrammus,Coelambus parallelogrammus,in water,aquatic,Ecoaq,KochGroup,Ecology,Coelambus|parallelogrammus|(Ahr.)
(Ahr.),DYTISCIDAE,Coelambus,parallelogrammus,Coelambus parallelogrammus,in salty environments,halophilous,HTyha,KochGroup,Habitat type,Coelambus|parallelogrammus|(Ahr.)
(Ahr.),DYTISCIDAE,Coelambus,parallelogrammus,Coelambus parallelogrammus,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Coelambus|parallelogrammus|(Ahr.)
(Ahr.),LEIODIDAE,Liocyrtusa,minuta,Liocyrtusa minuta,Meadowland,Meadowland,BEco03,Bugs,,Liocyrtusa|minuta|(Ahr.)
Ahr.,CARABIDAE,Bembidion,argenteolum,Bembidion argenteolum,"Open wet habitats, shingle, etc",Open wet habitats,BEco05b,Bugs,,Bembidion|argenteolum|Ahr.
Ahr.,CARABIDAE,Bembidion,argenteolum,Bembidion argenteolum,in sand,psammophilous,HTyps,KochGroup,Habitat type,Bembidion|argenteolum|Ahr.
Ahr.,CARABIDAE,Bembidion,argenteolum,Bembidion argenteolum,on river banks,ripicolous,Ecori,KochGroup,Ecology,Bembidion|argenteolum|Ahr.
Ahr.,CARABIDAE,Bembidion,argenteolum,Bembidion argenteolum,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Bembidion|argenteolum|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,brevicornis,Donacia brevicornis,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Donacia|brevicornis|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,on grasses,graminicolous,Ecogr,KochGroup,Ecology,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,in swamps,paludicolous,Ecopa,KochGroup,Ecology,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,on river banks,ripicolous,Ecori,KochGroup,Ecology,Donacia|sparganii|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,sparganii,Donacia sparganii,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Donacia|sparganii|Ahr.
